ID_hecho,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO
2017-0109,2017-09-04,MOTO,21,2017-09-05
2017-0110,2017-09-06,PEATON,56,2017-09-07
2017-0111,2017-09-07,PEATON,79,2017-09-07
2017-0112,2017-09-10,AUTO,SD,2017-09-13
2017-0113,2017-09-11,PEATON,76,2017-09-11
2017-0114,2017-09-15,AUTO,26,2017-09-15
2017-0116,2017-09-20,MOTO,22,2017-09-20
2017-0118,2017-09-22,MOTO,26,2017-09-29
2017-0120,2017-10-02,MOTO,20,2017-10-02
2017-0123,2017-10-10,PEATON,36,2017-10-10
2017-0124,2017-10-12,MOTO,51,2017-10-12
2017-0125,2017-10-13,MOTO,29,2017-10-13
2017-0126,2017-10-14,AUTO,36,2017-10-14
2017-0127,2017-10-16,MOTO,24,2017-10-16
2017-0128,2017-10-17,PEATON,60,2017-10-17
2017-0129,2017-10-26,MOTO,57,2017-10-26
2017-0130,2017-10-27,AUTO,23,2017-10-27
2017-0132,2017-10-30,MOTO,23,2017-10-30
2017-0134,2017-11-06,PEATON,47,2017-11-06
2017-0135,2017-11-07,MOTO,24,2017-11-07
2017-0136,2017-11-16,PEATON,55,2017-11-16
2017-0137,2017-11-17,PEATON,60,2017-11-17
2017-0138,2017-11-19,MOTO,25,2017-11-19
2017-0139,2017-11-19,AUTO,15,2017-11-19
2017-0140,2017-11-19,MOTO,24,2017-11-19
2017-0141,2017-11-23,PEATON,22,2017-11-23
2017-0143,2017-11-25,AUTO,50,2017-11-25
2017-0144,2017-11-26,AUTO,50,2017-11-26
2017-0145,2017-11-26,MOTO,58,2017-11-26
2017-0147,2017-11-28,MOTO,49,2017-11-28
2017-0148,2017-11-29,PEATON,82,2017-11-29
2017-0149,2017-11-30,PEATON,13,2017-11-30
2017-0150,2017-12-04,PEATON,56,2017-12-04
2017-0151,2017-12-04,PEATON,SD,2017-12-04
2017-0152,2017-12-06,BICICLETA,19,2017-12-06
2017-0153,2017-12-11,MOTO,SD,2017-12-12
2017-0153,2017-12-11,MOTO,30,2017-12-12
2017-0154,2017-12-11,PEATON,76,2017-12-11
2017-0157,2017-12-17,AUTO,53,2017-12-17
2017-0158,2017-12-18,MOTO,32,2017-12-18
2017-0159,2017-12-20,MOTO,27,2017-12-20
2017-0160,2017-12-22,PEATON,30,2017-12-22
2017-0161,2017-12-26,PEATON,30,2017-12-26
2018-0001,2018-01-01,PEATON,83,2018-01-02
2018-0002,2018-01-03,BICICLETA,26,2018-01-03
2018-0003,2018-01-05,PEATON,58,2018-01-05
2018-0004,2018-01-09,MOTO,39,2018-01-09
2018-0005,2018-01-09,PEATON,54,2018-01-09
2018-0006,2018-01-10,BICICLETA,45,2018-01-10
2018-0007,2018-01-11,AUTO,46,2018-01-11
2018-0008,2018-01-12,MOTO,32,2018-01-12
2018-0009,2018-01-14,MOTO,19,2018-01-14
2018-0010,2018-01-18,MOTO,40,2018-01-18
2018-0011,2018-01-19,PEATON,84,2018-01-19
2018-0012,2018-01-26,MOTO,20,2018-01-26
2018-0013,2018-01-28,MOTO,44,2018-01-28
2018-0014,2018-01-31,PEATON,SD,2018-02-04
2018-0015,2018-02-06,MOTO,28,2018-02-06
2018-0015,2018-02-06,MOTO,19,2018-02-06
2018-0016,2018-02-15,MOTO,31,2018-02-15
2018-0017,2018-02-17,PEATON,35,2018-02-20
