ID,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO,RANGO_ETARIO
2018-0054,2018-05-22,PEATON,86.0,2018-05-25,61+
2018-0055,2018-05-29,MOTO,21.0,2018-05-29,19-30
2018-0056,2018-06-02,PEATON,69.0,2018-06-04,61+
2018-0057,2018-06-03,MOTO,33.0,2018-06-04,31-45
2018-0058,2018-06-03,MOTO,26.0,2018-06-13,19-30
2018-0059,2018-06-08,MOTO,54.0,2018-06-08,46-60
2018-0060,2018-06-08,PEATON,51.0,2018-06-08,46-60
2018-0061,2018-06-10,MOTO,51.0,2018-06-10,46-60
2018-0062,2018-06-14,PEATON,32.0,2018-06-14,31-45
2018-0063,2018-06-16,PEATON,28.0,2018-06-17,19-30
2018-0064,2018-06-25,AUTO,30.0,2018-06-25,31-45
2018-0065,2018-06-26,MOTO,35.0,2018-06-26,31-45
2018-0066,2018-06-28,PEATON,73.0,2018-06-28,61+
2018-0067,2018-06-29,PASAJEROS,81.0,2018-07-06,61+
2018-0068,2018-07-01,MOTO,21.0,2018-07-01,19-30
2018-0069,2018-07-04,BICICLETA,20.0,2018-07-04,19-30
2018-0070,2018-07-07,MOTO,33.0,2018-07-07,31-45
2018-0071,2018-07-10,MOTO,,2018-07-10,
2018-0072,2018-07-11,MOTO,27.0,2018-07-13,19-30
2018-0073,2018-07-11,PEATON,67.0,2018-07-11,61+
2018-0074,2018-07-14,AUTO,25.0,2018-07-14,19-30
2018-0075,2018-07-15,PEATON,23.0,2018-07-15,19-30
2018-0076,2018-07-16,AUTO,73.0,2018-07-16,61+
2018-0077,2018-07-16,AUTO,58.0,2018-07-17,46-60
2018-0078,2018-07-21,PEATON,27.0,2018-07-21,19-30
2018-0079,2018-07-23,PEATON,,2018-07-23,
2018-0080,2018-07-25,PEATON,26.0,2018-07-25,19-30
2018-0081,2018-07-29,PEATON,35.0,2018-07-29,31-45
2018-0082,2018-08-01,MOTO,17.0,2018-08-01,0-18
2018-0083,2018-08-02,MOTO,,2018-08-02,
2018-0084,2018-08-03,PEATON,45.0,2018-08-03,46-60
2018-0085,2018-08-03,MOTO,22.0,2018-08-03,19-30
2018-0085,2018-08-03,MOTO,30.0,2018-08-03,31-45
2018-0086,2018-08-10,PEATON,40.0,2018-08-10,31-45
2018-0087,2018-08-15,PEATON,75.0,2018-08-20,61+
2018-0088,2018-08-17,MOTO,,2018-08-17,
2018-0089,2018-08-17,PEATON,80.0,2018-08-17,61+
2018-0090,2018-08-18,MOTO,27.0,2018-08-18,19-30
2018-0091,2018-08-19,AUTO,23.0,2018-08-19,19-30
2018-0092,2018-08-20,MOTO,23.0,2018-08-20,19-30
2018-0093,2018-08-20,PEATON,24.0,2018-08-20,19-30
2018-0094,2018-08-23,MOTO,32.0,2018-08-23,31-45
2018-0095,2018-08-26,AUTO,49.0,2018-08-26,46-60
2018-0096,2018-08-31,PEATON,39.0,2018-08-31,31-45
2018-0097,2018-09-02,AUTO,35.0,2018-09-02,31-45
2018-0098,2018-09-09,AUTO,55.0,2018-09-09,46-60
2018-0098,2018-09-09,AUTO,54.0,2018-09-09,46-60
2018-0099,2018-09-12,PEATON,18.0,2018-09-13,19-30
2018-0100,2018-09-20,MOTO,33.0,2018-09-20,31-45
2018-0101,2018-09-21,AUTO,,2018-09-21,
2018-0102,2018-09-21,MOTO,20.0,2018-09-21,19-30
2018-0103,2018-09-27,PEATON,1.0,2018-09-29,0-18
2018-0104,2018-10-01,MOTO,22.0,2018-10-01,19-30
